USERID,Date,Transaction Description,Category,Amount,Type
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-08-30,College manage fund.,Salary,4137.57,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-06-11,Some gun ahead certainly act.,Investment,365.24,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-05-20,Until truth feeling view.,Rent,89.77,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-11-04,Doctor fine be.,Travel,954.07,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-07-18,Best generation group goal.,Other,1995.32,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-08-12,Face mission brother figure hear.,Other,960.03,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-04-07,Arrive which consider.,Investment,1227.49,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-01-18,Magazine yard instead town.,Travel,820.07,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-05-25,Expert commercial entire resource.,Health & Fitness,279.81,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-09-08,Real know our any.,Health & Fitness,4684.55,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-04-05,Child ball store process.,Investment,1278.98,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-07-04,Eat tonight run leader.,Shopping,4989.61,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-08-12,Arrive which consider.,Utilities,1638.98,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-05-23,No couple debate must.,Salary,765.63,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-07-20,Born same usually.,Entertainment,670.64,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-01-12,Arrive which consider.,Food & Drink,58.69,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-09-11,Including time reflect.,Health & Fitness,1939.41,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-06-06,You ready way rule.,Rent,1829.74,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-11-03,Rate society floor long same.,Other,2599.1,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-02-22,Notice street anything.,Other,4552.54,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-06-30,Dog late eat.,Shopping,6456.04,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-05-16,Us money positive.,Rent,644.64,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-03-27,Be fire.,Rent,7988.18,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-09-22,Despite energy company.,Food & Drink,3106.75,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-03-18,No couple debate must.,Salary,6490.14,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-01-03,Child ball store process.,Entertainment,2239.4,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-07-12,Eight bed fill.,Food & Drink,3560.3,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-10-09,Condition again successful.,Other,14.1,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-08-22,One shoulder administration.,Investment,8624.8,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-03-22,Dog late eat.,Food & Drink,2426.55,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-10-10,Significant up still management.,Entertainment,3765.22,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-05-15,Good spend still.,Investment,368.47,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-12-26,Future congress.,Shopping,432.4,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-07-23,Effort drive side human.,Other,4765.48,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-04-21,Up hear draw.,Salary,375.71,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-11-28,Eight bed fill.,Investment,390.66,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-11-25,Arrive which consider.,Investment,144.96,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-05-20,And student give score agree.,Other,202.01,Income
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-01-06,Why though decide bank likely.,Food & Drink,524.12,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-03-11,Few spring raise.,Shopping,3159.42,Expense
457b7141-7688-4eed-a2cc-47eae8f3347d,2024-12-13,State serious activity pressure.,Entertainment,242.53,Income
