Date,Transaction Description,Category,Amount,Type
2024-01-02,Gas teacher national weight all.,Travel,1099.9,Expense
2024-01-02,Himself fire heavy.,Rent,101.1,Expense
2024-01-04,Allow news.,Investment,3852.0,Income
2024-01-04,Man care resource.,Investment,2036.0,Income
2024-01-07,Notice make.,Other,2266.0,Income
2024-01-09,Occur live take media hot.,Entertainment,1436.41,Expense
2024-01-09,Wife pay good within fly.,Other,880.0,Income
2024-01-10,And student give score agree.,Rent,1546.57,Expense
2024-01-11,Best generation group goal.,Utilities,1928.07,Expense
2024-01-11,Doctor fine be.,Investment,4045.0,Income
2024-01-11,Boy college mrs.,Salary,1849.5,Expense
2024-01-12,Price institution method inside.,Utilities,1386.72,Expense
2024-01-13,Onto worry help hope.,Investment,1348.0,Income
2024-01-14,Space beyond.,Health & Fitness,1013.18,Expense
2024-01-15,Market specific property coach.,Entertainment,554.46,Expense
2024-01-16,Wide cut player wind.,Travel,911.16,Expense
2024-01-16,Degree enter father of source.,Other,4696.0,Income
2024-01-16,Behind front attack song little.,Health & Fitness,1426.63,Expense
2024-01-17,Somebody prepare few sound.,Entertainment,409.77,Expense
2024-01-19,Finish increase economy middle public.,Travel,1376.36,Expense
2024-01-19,Thing physical might.,Utilities,1962.86,Expense
2024-01-19,Material produce station visit environmental.,Utilities,1012.75,Expense
2024-01-19,Table trade various risk art.,Health & Fitness,1423.6,Expense
2024-01-20,Leg drive second she.,Salary,1169.78,Expense
2024-01-22,Five store ask data.,Shopping,1351.74,Expense
2024-01-23,Statement position either.,Travel,1756.18,Expense
2024-01-24,Draw change agree someone.,Food & Drink,1050.23,Expense
2024-01-25,Magazine yard instead town.,Investment,934.0,Income
2024-01-26,Evening ahead smile.,Entertainment,541.29,Expense
2024-01-26,Compare system white magazine after.,Travel,1369.95,Expense
2024-01-26,Own test too imagine.,Investment,2917.0,Income
2024-01-27,However style.,Food & Drink,723.78,Expense
2024-01-28,Born same usually.,Entertainment,1487.4,Expense
2024-01-30,Wear use edge this draw.,Entertainment,1026.74,Expense
2024-02-01,Forget once hope security.,Travel,1388.94,Expense
2024-02-06,Design blood degree ever.,Other,3674.0,Income
2024-02-07,Television argue mouth.,Health & Fitness,1932.01,Expense
2024-02-07,Nation little east everyone.,Other,2163.0,Income
2024-02-10,Little happy final population.,Salary,1661.67,Expense
2024-02-10,Real small.,Health & Fitness,1512.66,Expense
2024-02-10,Need finally when.,Entertainment,1554.53,Expense
2024-02-14,Movement door kind.,Travel,903.14,Expense
2024-02-14,Until truth feeling view.,Rent,382.08,Expense
2024-02-15,Decision three trouble.,Investment,3590.0,Income
2024-02-16,Smile ever bag single.,Other,2664.0,Income
2024-02-17,Say unit four institution.,Other,546.0,Income
2024-02-19,Recognize media goal.,Utilities,89.48,Expense
2024-02-21,Law agree appear political.,Food & Drink,1549.59,Expense
2024-02-21,Able customer figure.,Travel,986.2,Expense
2024-02-21,Book economic.,Health & Fitness,155.03,Expense
2024-02-22,Rate society floor long same.,Entertainment,1914.41,Expense
2024-02-23,Reach step son.,Utilities,837.7,Expense
2024-02-23,Increase consider.,Rent,705.31,Expense
2024-02-24,Difference way type positive phone.,Health & Fitness,668.82,Expense
2024-02-24,Cup red collection husband.,Salary,1993.3,Expense
2024-02-25,Employee become happy water bring.,Food & Drink,238.3,Expense
2024-02-27,Significant up still management.,Entertainment,1809.95,Expense
2024-02-27,Course technology site.,Entertainment,1918.2,Expense
2024-02-27,High issue deal democratic.,Health & Fitness,768.93,Expense
2024-02-28,Industry impact certainly.,Rent,777.89,Expense
2024-02-29,Dog late eat.,Travel,59.16,Expense
2024-03-02,Beat light the window.,Health & Fitness,1033.48,Expense
2024-03-03,Require remain save.,Salary,97.26,Expense
2024-03-05,Believe arrive.,Entertainment,647.42,Expense
2024-03-05,Likely great paper.,Investment,1871.0,Income
2024-03-06,Effect people.,Food & Drink,1257.6,Expense
2024-03-06,Provide car throughout american.,Entertainment,1731.25,Expense
2024-03-06,College manage fund.,Rent,419.1,Expense
2024-03-07,Bed report item.,Shopping,1296.66,Expense
2024-03-07,Finish without.,Utilities,57.27,Expense
2024-03-08,Security unit executive.,Food & Drink,184.17,Expense
2024-03-11,Stop unit might job close.,Other,1077.0,Income
2024-03-13,New type pm.,Entertainment,1822.86,Expense
2024-03-15,Country approach.,Salary,1264.13,Expense
2024-03-16,Like clear.,Food & Drink,785.11,Expense
2024-03-18,Break time manager kid.,Investment,1018.0,Income
2024-03-26,Leader both rest challenge.,Food & Drink,1404.76,Expense
2024-03-27,Data exist.,Investment,2874.0,Income
2024-03-28,State none production defense your.,Travel,1217.07,Expense
2024-03-29,Short congress turn east marriage.,Salary,769.01,Expense
2024-03-30,Ago race quite hour.,Food & Drink,953.24,Expense
2024-03-30,Child ball store process.,Utilities,1496.04,Expense
2024-04-03,Western order accept wide prevent.,Travel,1920.67,Expense
2024-04-04,Water yourself trade someone.,Other,591.0,Income
2024-04-06,Tell soon executive.,Utilities,255.24,Expense
2024-04-07,Natural own.,Other,4900.0,Income
2024-04-08,Effort drive side human.,Rent,616.34,Expense
2024-04-09,Clear single expect.,Health & Fitness,431.36,Expense
2024-04-09,Fear song save.,Utilities,330.3,Expense
2024-04-10,Capital program story mention majority.,Travel,396.71,Expense
2024-04-10,Environmental outside bed institution.,Investment,4996.0,Income
2024-04-11,Control piece behavior message wind.,Rent,588.4,Expense
2024-04-13,Us money positive.,Investment,2117.0,Income
2024-04-16,Life bad soon.,Salary,1903.56,Expense
2024-04-17,Worker range feel.,Entertainment,209.09,Expense
2024-04-17,Into notice necessary true message.,Entertainment,642.39,Expense
2024-04-17,Including let result spend.,Travel,1389.98,Expense
2024-04-18,One shoulder administration.,Other,3091.0,Income
2024-04-20,Skill successful and.,Utilities,19.62,Expense
2024-04-21,Finish right serious.,Entertainment,1427.28,Expense
2024-04-22,Space game truth special decision.,Travel,1681.82,Expense
2024-04-23,Else pull its adult house.,Other,4431.0,Income
2024-04-25,Pretty least if.,Health & Fitness,1551.79,Expense
