ユーザID,日付,カテゴリ,単価,数量,金額,支払区分,店舗場所,収支
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-04-18,Shopping,278.49,7,1949.43,Credit Card,鹿児島県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-06-11,Food & Drink,327.22,10,3272.2,Mobile Payment,岩手県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-10-25,Health & Fitness,513.41,10,5134.1,Cash,北海道,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-12-12,Investment,1988.56,2,3977.12,Credit Card,北海道,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-07-19,Entertainment,490.97,6,2945.82,Other,福岡県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-09-15,Investment,8416.38,6,50498.28,Cash,奈良県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-07-12,Travel,2598.19,1,2598.19,Mobile Payment,高知県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-09-28,Travel,1144.18,9,10297.62,Credit Card,福岡県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-03-21,Utilities,3010.44,9,27093.96,Mobile Payment,その他,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-12-08,Health & Fitness,339.74,8,2717.92,Other,福井県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-07-06,Shopping,990.12,8,7920.96,Mobile Payment,埼玉県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-04-05,Utilities,4295.3,4,17181.2,Cash,北海道,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-02-10,Shopping,1266.29,8,10130.32,Other,福岡県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-07-07,Rent,1678.13,3,5034.39,Cash,茨城県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-12-10,Investment,2481.2,6,14887.2,Mobile Payment,福井県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-05-09,Health & Fitness,861.69,3,2585.07,Other,オンライン,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-04-03,Entertainment,415.57,1,415.57,Mobile Payment,岡山県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-04-26,Rent,1096.09,8,8768.72,Other,兵庫県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-01-21,Food & Drink,129.87,8,1038.96,Cash,山口県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-03-09,Entertainment,357.48,3,1072.44,Mobile Payment,新潟県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-08-14,Health & Fitness,111.59,3,334.77,Cash,秋田県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-08-17,Rent,2933.3,5,14666.5,Mobile Payment,鹿児島県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-06-01,Shopping,707.79,4,2831.16,Mobile Payment,青森県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-03-25,Utilities,553.85,3,1661.55,Credit Card,北海道,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-07-03,Investment,794.79,9,7153.11,Mobile Payment,福井県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-08-12,Shopping,485.9,5,2429.5,Credit Card,岐阜県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-07-14,Travel,947.62,8,7580.96,Credit Card,熊本県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-02-15,Health & Fitness,224.36,8,1794.88,Cash,京都府,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-02-26,Food & Drink,212.57,3,637.71,Cash,鹿児島県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-05-29,Health & Fitness,1702.26,10,17022.6,Credit Card,岩手県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-04-26,Travel,2839.29,10,28392.9,Other,三重県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-01-11,Shopping,1479.14,1,1479.14,Cash,その他,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-05-05,Travel,2222.07,10,22220.7,Credit Card,岩手県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-05-15,Health & Fitness,1258.07,2,2516.14,Mobile Payment,三重県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-08-23,Shopping,129.48,6,776.88,Other,兵庫県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-02-08,Investment,414.98,6,2489.88,Other,愛媛県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-01-28,Shopping,1296.34,3,3889.02,Cash,長野県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-10-07,Travel,3887.97,3,11663.91,Mobile Payment,沖縄県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-08-02,Shopping,1854.12,7,12978.84,Other,三重県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-09-19,Shopping,1640.9,2,3281.8,Mobile Payment,静岡県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-07-23,Travel,544.41,10,5444.1,Cash,兵庫県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-01-21,Shopping,79.05,4,316.2,Cash,北海道,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-08-26,Rent,2347.69,9,21129.21,Credit Card,佐賀県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-07-08,Entertainment,157.13,10,1571.3,Mobile Payment,宮崎県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-12-22,Food & Drink,289.9,4,1159.6,Credit Card,京都府,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-04-30,Health & Fitness,1034.88,5,5174.4,Cash,長野県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-10-22,Investment,284.54,9,2560.86,Credit Card,石川県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-05-07,Food & Drink,65.77,7,460.39,Mobile Payment,宮崎県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-11-23,Food & Drink,208.36,1,208.36,Other,山梨県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-09-23,Travel,1092.55,7,7647.85,Mobile Payment,福井県,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-06-02,Entertainment,179.72,8,1437.76,Credit Card,愛知県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-01-03,Entertainment,288.79,3,866.37,Credit Card,鹿児島県,Expense
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-06-03,Utilities,3038.43,3,9115.29,Mobile Payment,北海道,Income
f91d8271-ebc4-4617-b9d1-1293ae064d7a,2024-06-25,Food & Drink,130.71,5,653.55,Other,宮城県,Income
